,count,minNt_r
112776,949457,008500850004
116602,593567,000006008987090000000000
112899,441068,000000000a0500000085008b
114440,23815,00000a0084000000008a0086070000860000
112785,19740,00000000050b00870b00060000008b000000
112805,12798,870000000b000000008900000a0000850600
112784,10273,070000000000000084000900008a09008600
112855,9993,0084000a000000080087040000008b000000
116819,9830,8d088500000000000000008800001300000500000000920e
112816,9676,00000004008b000800050089008700000000
112832,9522,000084008684000700008600
112797,8820,008a00070000000a000000000007008b8600
112811,8774,090600000000070000000084008b00000005
112803,8771,060000008900060009000000840000000007
112837,8635,000707050000000000870400
114727,8625,000000008900060985000000000006000009
112808,8194,8600008a000089000000000a070000880000
112822,8177,00008500008a000700000000008a000b0084
112813,8030,890000840000008605000000000009000084
112807,7698,000000890085000008000000850089000600
112833,7671,00000600008b000000850004000800000006
112806,7553,000000008b0400098a000005008600000000
112815,7551,000000080b00060000880000000000070086
112877,7468,00000a00860000000400870085008a000000
112786,7334,000000850000008804000089000600040800
112830,7193,00848a00000005000000000009008a000085
117233,6938,08000000008d8b00900c0000110500000000000000008600
112844,6888,060b000000000500860000000000008a0005
112836,6799,000b00070000090000840005000000000089
112809,6795,0a0000000006000800850000000b0000008a
112835,6681,000000070900070000890000008600070000
112866,6595,000000000b000006008b0f000089008d8600
112904,6246,0000000000870600000009008a070000898b
112818,5562,000f00000000008806008d008e0087000900
112839,4999,008700000089008986000008040000000000
112814,4991,0000000084008800008a0089060006000008
114444,4779,040000008d8a000000000e000b008d008500
114737,4757,000a878600000000000000040000000f00890000888f0000
114696,4725,000f860e00890009000006000000008e0000
112821,4526,0000000005008500000088008b0000870008
114694,4130,0a000000000f00060000000088000087878d
112823,4087,880000858500098400000800000000000700
112841,4007,840900000000890000000000000600090087
114445,3940,89048d0000060900000d0000000000008600
112819,3860,00870d0f8800000000008c00000700000800
114728,3809,000000070089000000000900000007890086
114556,3806,8f00008500090000000e00008a008f060000
114794,3788,000a85000000070000000000000b88860000
114667,3771,00000000000a06008f000088000086000f88
114716,3756,000000000a87080000890000000008000700
112828,3578,00060000000a000900880000840000850000
114468,3535,0000848d88000600000a008d00000000000e
112900,3455,000000000600840000008b8b000085850a00
114479,3438,0000000f09008b0000078f06000000008400
114545,3433,0800008c878f0000008b00060000000f0000
114691,3390,84000009008e85880000000f000000000006
112810,3358,00000006008b00850086000008000000008b
115247,3305,00008a0000868a0000000987060000000000
112827,3261,00848700840000000000008b0b0008000600
112824,3250,000000000800000700008b008700008a0004
114731,3168,000087000000078a000b00000000040b0000
116603,3116,0e00001000008990000086000b00000000040000008e0000
114734,3100,00000b870000000089860008000000000400
114446,3060,05080000000007000000840000008b050000
114679,3021,000000000700000c0000000b8e848500008b
112834,2940,000089000007000000000a0000848a000500
112840,2872,07008900000000008b000800000084008b00
114761,2840,0000860b00008b8500000800000500000000
112812,2820,00870f0000000008000000008f00888b0005
113358,2607,0a09000007000000008a0900000000000084
112843,2590,868a00000000000000000800008907008400
114740,2570,05090000000000000086000b8b0000000800
117232,2564,0000880d000000000000008e00000b06000087000c860000
113048,2508,000d0000000000008f00008b0a0b00008700000500000009
116823,2438,000b09870000000006040900000000008800
113094,2437,8b0000000008000000008709050000000900
112804,2426,890000088500008600000900000007000000
112931,2358,000000008a0000000700008607000b000700
112817,2357,0b0000860000000008000500890000000a00
113066,2338,080000060000008800050000000000840700
112820,2321,080000008400060a000000000000008a000b
113513,2306,0000060a0000860000080000000900000088
112831,2305,000404000b00008b00000488000000870000
117228,2280,00000000890d00000000008d040000000000080a85090000
113032,2279,000085000b0008000700000000008b00000a
113101,2258,8900000000000000000000850004000f0f0000040a8f0000
113224,2233,0000090000070000048b0000000087000006
116659,2210,078a888d000000000b000000000e00840000
112912,2196,8b0006060000008700000000000005080800
113769,2195,000089880007000084000000000000098a00
113136,2191,000000008688090000000087000500008400
113535,2181,0087840a00870000050000008a0000008a00
112928,2170,0000000085000a050000000b000088000b00
113031,2145,0000000600000a0000008684000088848900
113028,2141,000085000000008b0007008a000000080089
113073,2117,008500008900008409000000000400008500
114726,2113,0905000000008700040000008a0500000000
112825,2108,0084080000008a8a8b000084000000000600
113208,2095,000005008b88000000000085000a008b0000
114744,2093,0000098600000086000000008b00000a0000000006000008
113060,2091,0007890000880a0007000006000000850000
112980,2087,00000000040000868888000000088b000000
113691,2081,090007000000008a09000000850b00000000
113110,2069,0b000a84000000880b000000000000000500
113089,2062,008b848b0000000000000700008900000008
113030,2057,000000840900000009000006008b0000000a
113076,2055,000b00850000040000850000000085008a00
114742,2048,090400000000000000000689000000058600
113007,2048,009300008a0f8400008f00000b0000000000110000000600
113022,2037,0006000a00000400008b0000000784000000
113767,2037,000000050009000087000006890000000600
113029,2035,000086000007000800000500048800000000
113760,2030,00070000000008008b000000000a00008509
113435,2028,00000000008b008400000500000008050005
113246,2025,090000060504000086000b0000008b000000
113074,2019,000085008800000500008a0000000a008900
114699,2017,0000000985000088000000090a0600000000
113657,2016,000088840000040000008b00000008000089
112923,2012,0000048a008a860086008900000008000000
114736,2002,000c0000008b0b0b00070000008e0000000000000000870a
113068,1992,000000840a00868a00000000850006000000
112917,1983,00880005000600050b080000000000000084
113269,1974,8800890085008a0500000006000800000000
114683,1971,0d000000000b000400000000848b008d8600
113258,1963,000006000000880087008b0000850b000086
117273,1950,00000000048b00008d84000000000b0a8d0000000d000000
113613,1949,00848900000000048b050007000000090000
112888,1926,000000000004008a0087000b000000008984
114749,1924,00008a00000b000000000a8700000000070a
113088,1924,0b0005080000000000880009000000008500
113082,1919,0b0000000000008506000000000700008906
112963,1910,080000000b0000848b008484060000000000
113083,1910,0000850a0000008b00008700000000048700
112961,1908,0000008c000000000000880f06060d0000000b0086000000
114747,1905,00860a00000008000000060008000000008b
114754,1905,890000040000858b00000000000b008a0000
113027,1895,00898a000500000000860000070a00070000
116605,1894,008500000000008900000c0000000a058d06
113070,1890,0000078b0000008400000005070000000009
113679,1886,00070a0000008600000b0000008b08000000
114748,1881,89000700000000000900000000008a048700
113023,1877,00850800000a008600848a00000500000000
113735,1873,0006008b000000890a0000008600008b0000
114557,1869,00000000008f00000007008a0b0e84000e00
114772,1866,0000058b000000000000868889000000000a
114750,1865,00000000078b000000000b07008704000000
113037,1864,0000008e0000008a00008a0000870d0c0008070000000000
113019,1862,048b0000008b0000000000850b0000008800
114741,1860,00008985000000000b850000050000000086
113424,1855,0000008600008b0600000589080000890000
113033,1854,0b0000850000000000008a00000000050f00078c00000600
113067,1841,000000880600000000008887008900080000
113075,1841,008b000e00000000008f000000000a070008000000860500
113391,1840,000000870400008b00000600050000000a00
113635,1840,0a000b00090507000000008a008700000000
113724,1834,05040800000000008b000000070000008400
112939,1823,008a0005048e00000000080000000000000c000000840700
113546,1820,000b0800040b8a0006000000000084000000
114523,1819,8700008b00000d000000000004008f008f0a
113106,1808,008a0006890000000000840089000a000000
113568,1804,0000008a8585000b00000000000000070086
113768,1801,0005078b0000000000090000000500000084
112953,1793,8b850000008b0000008a0900000007000000
113058,1789,000084090000000088000084000000060087
113491,1787,000f0009000000008e00000400000000008600000700898a
113038,1780,8a0084000000090b00090084000007000000
112951,1780,0c0000850000000500890006000e0c080000000000008e00
113002,1772,8500840000098a860000008a040000000000
112777,1771,040004008700000000000087
114743,1765,000a000000050800000085008a0000000009
113206,1760,000000000a00008800008785000004008700
114733,1759,048900000000008900000800000000880086
113057,1757,00000000008c89870000870f00000600000000088b008600
113113,1749,000004080000060000008a00000004000085
113018,1747,060b00000a00000009000088870000000000
113071,1746,068b00000088000085000000070008000600
114729,1740,0004000b000000890000000000860b070000
113065,1738,00000087000a898888000084000000000005
112965,1728,008900000008008b00000004000000890087
114512,1728,00000000050000008800000e0800848c0084
113021,1728,0000058c048800860000000088000c000000000000060008
113090,1727,04000f000000000d8b000087000800840d00000000008e00
114534,1722,050800000000000000058800850000040000
113087,1717,008b0000000500870000008a00008b000800
114739,1716,000009850000008b0000000a000000000408
113764,1715,08000000000000008b880086000088060005
113524,1711,0087000000000b00000b0007008900000405
113053,1710,008900008786000900000000000500840000
113773,1709,0006000000000000000a008b85840000080b
116614,1707,0000040708070000008b0088000000008600
113191,1700,868b850000000000000005000b000b008600
113291,1698,0e85000000008e00000b0000008900000000000b00040004
113064,1693,0000048a0000040000000087070000000008
113054,1692,000088000000840000000b0b050008000007
112922,1689,858a0000008a06000000000000000b00008a
114680,1687,8700000b0000090000008a00000409000000
112920,1686,0086008a0000000586000000000a87000000
112955,1685,0a0a040000000000870000008a0000000507
113357,1668,0085000000890b0000000088070000000089
112957,1665,868600008a00000000000800000000048a8b
113040,1663,00040000000000008600000b0000888b0d8a00000000008c
113098,1661,00000000008800040a050600850000000800
113041,1646,00008584000a880000000000000600870000
113195,1643,00848a0000000086000b0000850000040000
113213,1641,8a000000008500000000850b060000870000
113178,1637,040087000000008800000007000800000006
113061,1625,00000006000000850088840000000a000b86
113084,1622,0700000a00000005008b0000000006000087
113602,1620,07070000000a00000500860000008b000000
112978,1615,008500000000008a04000005080a00000500
113107,1615,880000000b000b0000000005000800008600
112949,1609,0600008e0b0407000086000000008800000000000000000f
113005,1597,00068b00008a000000000008860086000089
112979,1592,00000088008600860500000000000000850b
113369,1581,0000000089000000080000048786000a8400
113380,1581,8a008500860000000000000600000b00840a
113468,1581,0000008500000000008888050700000b0600
113591,1571,00080008008600880000000d00000000008e000000040085
113104,1571,890000000087850000000008000500840000
114590,1570,068f0b0000008e008400008b0000000e0000
112947,1568,000a00000000000a000f000688008400000000008d000000
113013,1566,00840f000000000000920000108f008a0000000a00070000
114738,1566,8d00000000910f0700000008100000008400008b00000000
113001,1562,068900050005000a0000000000848a000000
116604,1559,00008b8c058d08000000860000000e000000
112918,1558,85000a008500060000000085000000008b00
112968,1557,89008700008e000000000f00000400000000000084080a00
113095,1552,0000000000870809000005000a00008b0000
113115,1548,000084008b0000000600000088840b000087
112944,1548,0900850a0800000000008a00000404000000
113086,1543,0b000a000086000400000000000009008a00
113102,1541,000d00009300000b1300008504000000000000008d00008a
112969,1537,000000070089000000000a008b0086840085
116647,1536,060a00008f05870000000000880000000f00
112950,1535,000000008600000f000e0a0000000700008e00880e000000
113024,1531,0000000a0000848500880000000000840005
116744,1529,078a008a00000b0400000600000000000086
113014,1523,00008884000007000000840000000b008400
113313,1520,000085000a0008000700000000000a008900
112964,1511,008900008500008b00000a00008800000004
113763,1502,0000000606000c0000008b860000008c008b000009000000
112976,1490,05000400008f00000f000000090000008d000000848b0000
114711,1488,0a0000000007000400000085000000880006
112973,1486,0000008a050000000000000c0000008e0a00008800008789
112958,1484,0900088400000000000600008b0000000800
113020,1482,000a0000008c0000008a0400000086868e00000000000c00
113016,1480,0000008a00000e0000000006840a000000858c000b000000
116612,1476,000400000d00000000008a00088600008f0b
113186,1470,000b0000000000050000840000860000868a
113149,1469,07000000008a00008b860000000a0000008b
113124,1466,008900840089848400000800000000000006
112952,1463,00008400000000070600880007000900000b
112941,1462,000000040000000000088b008700008a8800
113557,1461,0a000b000700870085000b00000000000088
113092,1459,0000058b040000070800000b870000000000
113135,1459,85000000000007000a0a0009000000890600
113280,1454,000000000400860000008a8b008b00000a00
116636,1453,8f000000000400008489880d000000000900
114671,1449,0007008b008d070d00000009000085000000
113108,1447,0f000a0000000000000005008900890d00000000008c0087
112933,1447,000000070089000906000000000f000000008c8e00850000
116625,1443,8e000900000000000c858489000004000000
112929,1442,08000a84000b000000878a00000000000500
113761,1438,0000850000000b0b000006000506008a0000
113346,1438,0009050000000a8600000000008900000008
112913,1434,0000008b00000b0000000007000e00000e000b008d008500
113056,1431,050088880000000008000089000084000000
113059,1421,000e0000008b0085000000000905000010000000008d9100
113159,1419,0004000e0000090086000000000000008d00880e00008a00
113078,1413,0000008900000600070b00040000000b0086
112942,1411,85000000000000008b00000a898a00050000
114657,1406,00000e0608000d00840088008d0000000000
113188,1406,000400060089098c00008d000000000c0007000000000087
113015,1404,8700000000008b0000890600070007000900
113130,1401,00008600850a008600000007890000000000
113116,1400,08000000000005000700008b000086000500
114675,1398,0d00880000068f000a050000000087000000
112975,1395,000085870089000086000007000000000900
113035,1392,898f8d00000000000005000000848b000d00000000000b00
116660,1389,000089000085000f0000890c000000008e04000000090000
112925,1389,000600000000880000000b008b8487008900
112995,1388,8d00000000119300000000048a0e87000000000a00000000
112826,1385,0000008b00000b8700000000870009000004
112960,1384,000000008a000005000a000084000b868700
112945,1376,070a00008f00008c8a00050000000087000005000c000000
113046,1376,840000008900880000090000890400000000
113085,1372,000084850b00008c000e000000008600050000008a000000
113143,1371,00008c85840908000000000f00008b000000000000070008
112915,1371,000006890000070000860000000004000009
113043,1371,000005040089000006008500000b00000000
114477,1366,008d008a00870000000f0000088f00050000
113069,1361,0e000000000000000090008800058e100000000008000086
114732,1353,058900000000060a00000000000000048700
113757,1352,8a0000008a86000400000000008b00000a00
113047,1351,090800000509000000008600000004008900
113045,1349,8600008a000000050700048a00000000000b
113236,1343,00090000008800008b008984040000000000
113127,1342,850900000000000000890086000084000005
